# x_m, y_m, w_tr_right_m, w_tr_left_m
84.0580,33.7009,3.2518,1.7218
84.0559,33.8999,3.2509,1.7194
84.0521,34.2499,3.2495,1.7149
84.0484,34.5998,3.2509,1.7103
84.0446,34.9498,3.2546,1.7055
84.0409,35.2998,3.2596,1.7005
84.0371,35.6498,3.2648,1.6953
84.0334,35.9998,3.2701,1.6901
84.0296,36.3497,3.2755,1.6847
84.0265,36.6468,3.2800,1.6802
84.0259,36.6997,3.2809,1.6793
84.0222,37.0497,3.2862,1.6740
84.0184,37.3997,3.2916,1.6686
84.0147,37.7497,3.2968,1.6633
84.0109,38.0996,3.3020,1.6581
84.0072,38.4496,3.3070,1.6531
84.0034,38.7996,3.3118,1.6483
83.9997,39.1496,3.3164,1.6436
83.9960,39.4996,3.3208,1.6392
83.9950,39.5927,3.3218,1.6381
83.9922,39.8495,3.3248,1.6351
83.9885,40.1995,3.3285,1.6314
83.9847,40.5495,3.3319,1.6279
83.9810,40.8995,3.3349,1.6249
83.9772,41.2495,3.3373,1.6224
83.9735,41.5994,3.3394,1.6203
83.9697,41.9494,3.3411,1.6186
83.9660,42.2994,3.3420,1.6176
83.9634,42.5386,3.3424,1.6172
83.9623,42.6494,3.3424,1.6172
83.9585,42.9994,3.3423,1.6173
83.9548,43.3494,3.3415,1.6181
83.9510,43.6993,3.3400,1.6196
83.9473,44.0493,3.3381,1.6216
83.9435,44.3993,3.3356,1.6241
83.9398,44.7493,3.3325,1.6273
83.9360,45.0993,3.3292,1.6307
83.9323,45.4492,3.3256,1.6344
83.9319,45.4845,3.3252,1.6348
83.9286,45.7992,3.3216,1.6383
83.9248,46.1492,3.3175,1.6425
83.9211,46.4991,3.3133,1.6467
83.9174,46.8491,3.3091,1.6509
83.9137,47.1991,3.3049,1.6550
83.9099,47.5491,3.3008,1.6591
83.9061,47.8990,3.2969,1.6630
83.9024,48.2490,3.2934,1.6664
83.9004,48.4304,3.2916,1.6682
83.8986,48.5991,3.2902,1.6696
83.8948,48.9491,3.2872,1.6725
83.8909,49.2991,3.2850,1.6747
83.8871,49.6491,3.2832,1.6765
83.8833,49.9991,3.2819,1.6777
83.8796,50.3491,3.2813,1.6783
83.8759,50.6991,3.2815,1.6781
83.8722,51.0490,3.2824,1.6773
83.8689,51.3763,3.2839,1.6758
83.8687,51.3989,3.2840,1.6757
83.8652,51.7487,3.2868,1.6729
83.8617,52.0985,3.2945,1.6666
83.8582,52.4483,3.3064,1.6553
83.8547,52.7981,3.3198,1.6421
83.8510,53.1481,3.3335,1.6286
83.8472,53.4981,3.3473,1.6148
83.8432,53.8482,3.3610,1.6010
83.8389,54.1986,3.3740,1.5876
83.8374,54.3222,3.3786,1.5830
83.8344,54.5491,3.3864,1.5747
83.8296,54.8997,3.3979,1.5628
83.8248,55.2504,3.4069,1.5529
83.8202,55.6009,3.4141,1.5449
83.8159,55.9512,3.4194,1.5394
83.8121,56.3012,3.4205,1.5373
83.8090,56.6508,3.4188,1.5396
83.8068,56.9998,3.4140,1.5462
83.8059,57.2681,3.4063,1.5537
83.8057,57.3481,3.4037,1.5574
83.8055,57.6958,3.3901,1.5739
83.8058,58.0432,3.3721,1.5933
83.8057,58.3909,3.3532,1.5991
83.8046,58.7391,3.3435,1.5987
83.8019,59.0884,3.3633,1.6033
83.7968,59.4393,3.3762,1.6154
83.7888,59.7920,3.3860,1.6384
83.7770,60.1471,3.3830,1.6740
83.7743,60.2141,3.3830,1.6842
83.7608,60.5049,3.3725,1.7402
83.7391,60.8644,3.3560,1.8467
83.7106,61.2245,3.3186,1.9690
83.6740,61.5837,3.2702,2.0957
83.6281,61.9408,3.1949,2.2177
83.5715,62.2944,3.0882,2.3288
83.5030,62.6433,2.9735,2.4273
83.4213,62.9861,2.8571,2.5130
83.3251,63.3215,2.7408,2.5862
83.2131,63.6482,2.6379,2.6424
83.0841,63.9648,2.5551,2.6841
82.9369,64.2702,2.4904,2.7104
82.8919,64.3539,2.4759,2.7154
82.7702,64.5630,2.4471,2.7254
82.5846,64.8439,2.4309,2.7317
82.3818,65.1141,2.4371,2.7278
82.1633,65.3752,2.4598,2.7161
81.9306,65.6284,2.4909,2.6933
81.6852,65.8753,2.5249,2.6644
81.4288,66.1171,2.5615,2.6278
81.1628,66.3554,2.5951,2.5894
80.8889,66.5914,2.6191,2.5554
80.6086,66.8267,2.6403,2.5289
80.3234,67.0625,2.6472,2.5148
80.0691,67.2722,2.6475,2.5161
80.0349,67.3004,2.6461,2.5176
79.7443,67.5409,2.6336,2.5398
79.4517,67.7820,2.6072,2.5790
79.1573,68.0215,2.5753,2.6386
78.8610,68.2571,2.5270,2.7342
78.5628,68.4865,2.4706,2.8754
78.2628,68.7073,2.4075,3.0228
77.9610,68.9174,2.3142,3.1737
77.6574,69.1143,2.2207,3.3277
77.3520,69.2958,2.1298,3.4772
77.0449,69.4596,2.0310,3.5885
76.7361,69.6034,1.9408,3.6596
76.4256,69.7249,1.8596,3.6947
76.1134,69.8217,1.7780,3.7089
75.7995,69.8917,1.7162,3.7096
75.4841,69.9325,1.6666,3.7049
75.4371,69.9359,1.6632,3.7042
75.1670,69.9422,1.6307,3.7027
74.8482,69.9224,1.6202,3.7027
74.5276,69.8755,1.6196,3.6976
74.2052,69.8043,1.6317,3.6801
73.8807,69.7113,1.6576,3.6494
73.5542,69.5992,1.6903,3.6055
73.2255,69.4705,1.7336,3.5498
72.8944,69.3280,1.7982,3.4822
72.5610,69.1741,1.8794,3.4085
72.2251,69.0116,1.9544,3.3273
71.8866,68.8431,2.0195,3.2404
71.5455,68.6711,2.0767,3.1531
71.2015,68.4983,2.1061,3.0782
70.9410,68.3694,2.1243,3.0404
70.8546,68.3273,2.1297,3.0339
70.5056,68.1594,2.1149,3.0540
70.1567,67.9932,2.0981,3.1494
69.8103,67.8272,2.0263,3.2855
69.4690,67.6597,1.9519,3.4326
69.1351,67.4891,1.8418,3.5728
68.8112,67.3138,1.7258,3.6930
68.4996,67.1322,1.6001,3.7896
68.2030,66.9426,1.4668,3.8582
67.9236,66.7435,1.3429,3.9036
67.6640,66.5332,1.2318,3.9248
67.4267,66.3102,1.1472,3.9280
67.2141,66.0727,1.0960,3.9226
67.0286,65.8192,1.0808,3.9199
66.9466,65.6856,1.0844,3.9236
66.8726,65.5481,1.1003,3.9326
66.7460,65.2595,1.1515,3.9528
66.6463,64.9547,1.2328,3.9646
66.5707,64.6355,1.3395,3.9549
66.5166,64.3034,1.4648,3.9131
66.4813,63.9601,1.6081,3.8342
66.4622,63.6070,1.7620,3.7187
66.4565,63.2458,1.9124,3.5701
66.4617,62.8781,2.0520,3.3965
66.4749,62.5054,2.1847,3.2088
66.4936,62.1294,2.2997,3.0134
66.5151,61.7517,2.3943,2.8233
66.5367,61.3738,2.4759,2.6541
66.5557,60.9973,2.5244,2.5146
66.5688,60.6475,2.5601,2.4199
66.5694,60.6238,2.5622,2.4142
66.5758,60.2545,2.5725,2.3407
66.5748,59.8895,2.5737,2.3077
66.5667,59.5283,2.5550,2.3097
66.5518,59.1707,2.5263,2.3504
66.5304,58.8163,2.4811,2.4360
66.5028,58.4650,2.4260,2.5500
66.4693,58.1163,2.3551,2.6753
66.4302,57.7699,2.2752,2.8083
66.3859,57.4257,2.1794,2.9450
66.3367,57.0831,2.0755,3.0806
66.2828,56.7421,1.9614,3.2138
66.2246,56.4021,1.8406,3.3440
66.1623,56.0631,1.7144,3.4634
66.0964,55.7245,1.5852,3.5751
66.0270,55.3862,1.4579,3.6817
65.9546,55.0479,1.3316,3.7696
65.8794,54.7091,1.2082,3.8504
65.8017,54.3698,1.0933,3.9180
65.7218,54.0294,0.9938,3.9690
65.6401,53.6877,0.9143,4.0120
65.5732,53.4115,0.8686,4.0317
65.5568,53.3445,0.8602,4.0357
65.4720,52.9997,0.8381,4.0574
65.3849,52.6541,0.8558,4.0627
65.2945,52.3085,0.8983,4.0637
65.2001,51.9637,0.9578,4.0478
65.1007,51.6205,1.0276,4.0198
64.9955,51.2798,1.1024,3.9857
64.8836,50.9424,1.1793,3.9418
64.7642,50.6091,1.2404,3.8926
64.6364,50.2808,1.2925,3.8441
64.4993,49.9583,1.3384,3.7927
64.3520,49.6423,1.3807,3.7335
64.1937,49.3338,1.4167,3.6802
64.0235,49.0336,1.4450,3.6319
63.8406,48.7424,1.4676,3.5915
63.7014,48.5402,1.4802,3.5676
63.6440,48.4612,1.4842,3.5598
63.4336,48.1901,1.4935,3.5371
63.2106,47.9283,1.4988,3.5200
62.9762,47.6750,1.5053,3.5052
62.7316,47.4291,1.5087,3.4869
62.4781,47.1899,1.5095,3.4687
62.2170,46.9563,1.5104,3.4532
61.9494,46.7274,1.5108,3.4397
61.6766,46.5024,1.5098,3.4266
61.3998,46.2804,1.5083,3.4126
61.1204,46.0603,1.5083,3.3994
60.8396,45.8414,1.5083,3.3861
60.5585,45.6226,1.5123,3.3715
60.2785,45.4031,1.5273,3.3591
60.0008,45.1819,1.5472,3.3463
59.8188,45.0342,1.5631,3.3366
59.7266,44.9582,1.5722,3.3310
59.4564,44.7316,1.6024,3.3113
59.1898,44.5024,1.6370,3.2873
58.9261,44.2712,1.6752,3.2593
58.6647,44.0385,1.7161,3.2281
58.4050,43.8047,1.7590,3.1941
58.1463,43.5704,1.8030,3.1578
57.8881,43.3360,1.8474,3.1201
57.6296,43.1020,1.8914,3.0817
57.3704,42.8689,1.9342,3.0430
57.1097,42.6371,1.9747,3.0041
56.8470,42.4073,2.0115,2.9652
56.5817,42.1799,2.0435,2.9259
56.3130,41.9553,2.0685,2.8925
56.0404,41.7340,2.0872,2.8673
55.7798,41.5293,2.0960,2.8533
55.7634,41.5166,2.0964,2.8528
55.4816,41.3031,2.0972,2.8515
55.1965,41.0923,2.0901,2.8623
54.9097,40.8828,2.0735,2.8831
54.6230,40.6730,2.0522,2.9126
54.3379,40.4616,2.0226,2.9502
54.0563,40.2470,1.9878,2.9920
53.7797,40.0277,1.9521,3.0354
53.5098,39.8023,1.9104,3.0776
53.2484,39.5692,1.8682,3.1203
52.9970,39.3271,1.8302,3.1590
52.7574,39.0744,1.7905,3.1889
52.5313,38.8096,1.7544,3.2181
52.3202,38.5313,1.7281,3.2352
52.1803,38.3244,1.7099,3.2463
52.1260,38.2381,1.7069,3.2494
51.9498,37.9296,1.6896,3.2546
51.7922,37.6076,1.6834,3.2564
51.6537,37.2742,1.6803,3.2498
51.5348,36.9313,1.6739,3.2456
51.4360,36.5811,1.6767,3.2365
51.3576,36.2255,1.6730,3.2281
51.3003,35.8666,1.6665,3.2230
51.2644,35.5063,1.6693,3.2201
51.2505,35.1466,1.6487,3.2223
51.2591,34.7897,1.6406,3.2299
51.2906,34.4375,1.6231,3.2401
51.3455,34.0920,1.6078,3.2437
51.3763,33.9463,1.6034,3.2437
51.4242,33.7552,1.6055,3.2458
51.5260,33.4276,1.5981,3.2431
51.6492,33.1086,1.6046,3.2320
51.7921,32.7975,1.6227,3.2205
51.9531,32.4938,1.6403,3.1976
52.1304,32.1967,1.6691,3.1725
52.3224,31.9057,1.7060,3.1361
52.5273,31.6200,1.7449,3.0946
52.7434,31.3391,1.7872,3.0433
52.9692,31.0623,1.8326,2.9845
53.2027,30.7889,1.8769,2.9244
53.4424,30.5183,1.9177,2.8620
53.6866,30.2498,1.9570,2.7998
53.9336,29.9829,1.9920,2.7403
54.1816,29.7168,2.0195,2.6874
54.4290,29.4510,2.0421,2.6409
54.6741,29.1847,2.0573,2.6118
54.9151,28.9173,2.0637,2.6000
54.9341,28.8960,2.0639,2.5997
55.1508,28.6484,2.0632,2.6013
55.3815,28.3781,2.0543,2.6121
55.6079,28.1068,2.0397,2.6304
55.8311,27.8350,2.0205,2.6536
56.0518,27.5631,1.9967,2.6793
56.2709,27.2915,1.9711,2.7061
56.4894,27.0206,1.9445,2.7321
56.7080,26.7508,1.9186,2.7558
56.9277,26.4826,1.8953,2.7766
57.1493,26.2164,1.8761,2.7933
57.3737,25.9526,1.8627,2.8087
57.4233,25.8952,1.8613,2.8121
57.6016,25.6916,1.8581,2.8230
57.8324,25.4325,1.8613,2.8309
58.0649,25.1744,1.8707,2.8353
58.2981,24.9162,1.8846,2.8339
58.5307,24.6566,1.9027,2.8293
58.7616,24.3947,1.9242,2.8234
58.9895,24.1293,1.9465,2.8138
59.2134,23.8592,1.9683,2.8035
59.4321,23.5834,1.9906,2.7945
59.6443,23.3008,2.0118,2.7875
59.8490,23.0102,2.0294,2.7790
59.9956,22.7883,2.0410,2.7700
60.0449,22.7105,2.0437,2.7657
60.2307,22.4015,2.0567,2.7529
60.4045,22.0840,2.0647,2.7452
60.5644,21.7595,2.0674,2.7408
60.7085,21.4291,2.0693,2.7392
60.8349,21.0940,2.0645,2.7445
60.9417,20.7554,2.0533,2.7580
61.0271,20.4147,2.0395,2.7849
61.0890,20.0729,2.0160,2.8382
61.1257,19.7315,1.9896,2.9274
61.1355,19.4706,1.9608,3.0052
61.1352,19.3914,1.9530,3.0335
61.1169,19.0537,1.9083,3.1523
61.0724,18.7183,1.8488,3.2774
61.0040,18.3853,1.7759,3.4044
60.9136,18.0544,1.6955,3.5290
60.8033,17.7258,1.6074,3.6193
60.6752,17.3992,1.5189,3.6995
60.5313,17.0748,1.4379,3.7735
60.3738,16.7523,1.3700,3.8371
60.2047,16.4319,1.3174,3.8823
